run_id,finished_at_lima,order_id,status,detection_origin,site,appointment_date,appointment_hour,slots,submission_outcome,confirmation_source,defense_signal,duration_seconds,total_from_available_seconds,selection_seconds,captcha_solver_seconds,click_to_portal_response_seconds,screenshot_path,evidence_paths,message
***-124910-f22cdf16,2026-07-03 12:50:03,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,52.786,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-124910-f22cdf16-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-124910-f22cdf16-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-125003-74f05677,2026-07-03 12:50:53,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,49.738,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-125003-74f05677-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-125003-74f05677-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171408-cc5a3747,2026-07-03 17:15:00,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,52.534,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171408-cc5a3747-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171408-cc5a3747-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171500-a4c438e8,2026-07-03 17:15:54,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,53.242,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171500-a4c438e8-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171500-a4c438e8-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171554-c25ac5b1,2026-07-03 17:16:41,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,47.095,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171554-c25ac5b1-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171554-c25ac5b1-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171641-55b49fce,2026-07-03 17:17:28,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,47.221,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171641-55b49fce-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171641-55b49fce-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171728-00d96c47,2026-07-03 17:18:20,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,51.622,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171728-00d96c47-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171728-00d96c47-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171820-a64d7cd9,2026-07-03 17:19:13,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,53.496,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171820-a64d7cd9-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171820-a64d7cd9-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-171914-76935c2d,2026-07-03 17:20:02,order-***,partial,fetch_probe,LIMA-LA VICTORIA,03/07/2026,Sin Cupos,Sin Cupos,,,,48.969,,,,,03-modal-reserva-citas-disponibilidad-parcial-***-171914-76935c2d-order-***,03-modal-reserva-citas-disponibilidad-parcial-***-171914-76935c2d-order-***,"Se detecto fecha disponible, pero aun no hay hora seleccionable. La disponibilidad fue detectada por consulta directa al formulario."
***-084813-bd516f55,2026-07-04 08:48:31,order-***,partial,normal,LIMA-LA VICTORIA,08/07/2026,10:00,,blocked_by_order_rule,,,18.329,3.250,1.672,,,,04-reserva-captcha-tecnico-2captcha-***-084813-bd516f55-order-*** | 03-modal-reserva-citas-cupo-disponible-***-084813-bd516f55-order-*** | screenshots\04-07-2026\captchas\04-reserva-captcha-tecnico-2captcha-***-084813-bd516f55-order-***,"Se encontro un horario disponible, pero no cumple la regla de reserva de la orden."
